timestamp,sensor_id,temp_c,humedad_pct
2026-04-21 00:00:00,SENSOR-A,19.8,53.9
2026-04-21 00:05:00,SENSOR-A,20.7,60.3
2026-04-21 00:10:00,SENSOR-A,21.4,67.6
2026-04-21 00:15:00,SENSOR-A,20.5,54.5
2026-04-21 00:20:00,SENSOR-A,23.1,57.4
2026-04-21 00:25:00,SENSOR-A,20.7,59.5
2026-04-21 00:30:00,SENSOR-A,21.9,59.0
2026-04-21 00:35:00,SENSOR-A,20.0,52.7
2026-04-21 00:40:00,SENSOR-A,21.2,42.1
2026-04-21 00:45:00,SENSOR-A,17.4,50.0
2026-04-21 00:50:00,SENSOR-A,21.7,55.6
2026-04-21 00:55:00,SENSOR-A,20.5,57.1
2026-04-21 01:00:00,SENSOR-A,21.0,32.3
2026-04-21 01:05:00,SENSOR-A,23.0,55.2
2026-04-21 01:10:00,SENSOR-A,19.8,49.6
2026-04-21 01:15:00,SENSOR-A,20.6,61.6
2026-04-21 01:20:00,SENSOR-A,22.9,58.6
2026-04-21 01:25:00,SENSOR-A,22.1,42.7
2026-04-21 01:30:00,SENSOR-A,24.0,45.3
2026-04-21 01:35:00,SENSOR-A,22.7,47.4
2026-04-21 01:40:00,SENSOR-A,20.2,65.5
2026-04-21 01:45:00,SENSOR-A,20.6,57.3
2026-04-21 01:50:00,SENSOR-A,20.4,50.9
2026-04-21 01:55:00,SENSOR-A,20.2,68.6
2026-04-21 02:00:00,SENSOR-A,19.8,67.6
2026-04-21 02:05:00,SENSOR-A,21.0,71.5
2026-04-21 02:10:00,SENSOR-A,20.6,68.4
2026-04-21 02:15:00,SENSOR-A,21.3,56.9
2026-04-21 02:20:00,SENSOR-A,22.5,63.2
2026-04-21 02:25:00,SENSOR-A,23.1,53.0
2026-04-21 02:30:00,SENSOR-A,20.8,70.6
2026-04-21 02:35:00,SENSOR-A,20.6,57.5
2026-04-21 02:40:00,SENSOR-A,22.3,49.2
2026-04-21 02:45:00,SENSOR-A,20.7,56.1
2026-04-21 02:50:00,SENSOR-A,23.8,66.9
2026-04-21 02:55:00,SENSOR-A,22.2,53.4
2026-04-21 03:00:00,SENSOR-A,22.9,67.1
2026-04-21 03:05:00,SENSOR-A,22.4,55.4
2026-04-21 03:10:00,SENSOR-A,23.1,69.8
2026-04-21 03:15:00,SENSOR-A,23.2,55.6
2026-04-21 03:20:00,SENSOR-A,22.4,60.9
2026-04-21 03:25:00,SENSOR-A,24.2,60.1
2026-04-21 03:30:00,SENSOR-A,23.1,57.3
2026-04-21 03:35:00,SENSOR-A,22.3,44.4
2026-04-21 03:40:00,SENSOR-A,22.2,51.9
2026-04-21 03:45:00,SENSOR-A,22.2,57.1
2026-04-21 03:50:00,SENSOR-A,22.5,72.3
2026-04-21 03:55:00,SENSOR-A,22.4,61.7
2026-04-21 04:00:00,SENSOR-A,23.4,59.1
2026-04-21 04:05:00,SENSOR-A,21.7,34.7
2026-04-21 04:10:00,SENSOR-A,22.4,52.9
2026-04-21 04:15:00,SENSOR-A,24.3,50.4
2026-04-21 04:20:00,SENSOR-A,24.3,70.0
2026-04-21 04:25:00,SENSOR-A,22.8,64.4
2026-04-21 04:30:00,SENSOR-A,24.2,69.9
2026-04-21 04:35:00,SENSOR-A,24.9,51.4
2026-04-21 04:40:00,SENSOR-A,23.0,47.2
2026-04-21 04:45:00,SENSOR-A,23.3,65.7
2026-04-21 04:50:00,SENSOR-A,26.7,43.6
2026-04-21 04:55:00,SENSOR-A,23.8,49.7
2026-04-21 05:00:00,SENSOR-A,23.5,53.1
2026-04-21 05:05:00,SENSOR-A,22.6,50.8
2026-04-21 05:10:00,SENSOR-A,24.6,60.4
2026-04-21 05:15:00,SENSOR-A,23.9,52.9
2026-04-21 05:20:00,SENSOR-A,24.0,57.1
2026-04-21 05:25:00,SENSOR-A,21.7,47.9
2026-04-21 05:30:00,SENSOR-A,22.9,53.8
2026-04-21 05:35:00,SENSOR-A,23.4,41.8
2026-04-21 05:40:00,SENSOR-A,25.8,54.2
2026-04-21 05:45:00,SENSOR-A,25.5,57.9
2026-04-21 05:50:00,SENSOR-A,24.3,63.9
2026-04-21 05:55:00,SENSOR-A,24.5,55.0
2026-04-21 06:00:00,SENSOR-A,24.0,56.2
2026-04-21 06:05:00,SENSOR-A,26.2,62.4
2026-04-21 06:10:00,SENSOR-A,26.9,61.4
2026-04-21 06:15:00,SENSOR-A,25.2,47.9
2026-04-21 06:20:00,SENSOR-A,24.4,60.3
2026-04-21 06:25:00,SENSOR-A,24.4,54.9
2026-04-21 06:30:00,SENSOR-A,26.3,56.5
2026-04-21 06:35:00,SENSOR-A,25.8,56.0
2026-04-21 06:40:00,SENSOR-A,25.2,68.1
2026-04-21 06:45:00,SENSOR-A,24.0,53.6
2026-04-21 06:50:00,SENSOR-A,25.2,51.2
2026-04-21 06:55:00,SENSOR-A,23.5,53.4
2026-04-21 07:00:00,SENSOR-A,26.8,50.7
2026-04-21 07:05:00,SENSOR-A,26.1,56.9
2026-04-21 07:10:00,SENSOR-A,28.2,44.8
2026-04-21 07:15:00,SENSOR-A,25.8,45.5
2026-04-21 07:20:00,SENSOR-A,26.4,59.9
2026-04-21 07:25:00,SENSOR-A,25.7,64.2
2026-04-21 07:30:00,SENSOR-A,27.6,58.6
2026-04-21 07:35:00,SENSOR-A,29.2,47.9
2026-04-21 07:40:00,SENSOR-A,26.0,44.1
2026-04-21 07:45:00,SENSOR-A,29.0,60.0
2026-04-21 07:50:00,SENSOR-A,26.3,54.6
2026-04-21 07:55:00,SENSOR-A,25.7,58.9
2026-04-21 08:00:00,SENSOR-A,28.0,53.2
2026-04-21 08:05:00,SENSOR-A,27.4,47.4
2026-04-21 08:10:00,SENSOR-A,25.8,57.6
2026-04-21 08:15:00,SENSOR-A,28.2,56.1
